# Matter power spectrum P(k) at redshift z=0
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.344595803262e-02       1.832705883908e+04 
       3.359974372989e-02       1.825280278676e+04 
       3.375412448655e-02       1.817811087208e+04 
       3.390911676165e-02       1.810202679207e+04 
       3.406473758011e-02       1.802665355947e+04 
       3.422100455761e-02       1.795217370259e+04 
       3.437793592672e-02       1.787718990554e+04 
       3.453555056461e-02       1.780098977257e+04 
       3.469386802223e-02       1.772687856602e+04 
       3.485290855521e-02       1.765172370971e+04 
       3.501269315645e-02       1.757680265740e+04 
       3.517324359078e-02       1.750129892072e+04 
       3.533458243145e-02       1.742631160343e+04 
       3.549673309897e-02       1.735182674912e+04 
       3.565971990219e-02       1.727643290999e+04 
       3.582356808193e-02       1.720122417720e+04 
       3.598830385730e-02       1.712595029800e+04 
       3.615395447492e-02       1.705137819139e+04 
       3.632054826122e-02       1.697637404377e+04 
       3.648811467812e-02       1.690092463074e+04 
       3.665668438238e-02       1.682713247263e+04 
       3.682628928870e-02       1.675098052481e+04 
       3.699696263718e-02       1.667824687573e+04 
       3.716873906524e-02       1.660198860793e+04 
       3.734165468445e-02       1.652788820951e+04 
       3.751574716274e-02       1.645343261726e+04 
       3.769105581230e-02       1.637993933774e+04 
       3.786762168381e-02       1.630469948220e+04 
       3.804548766738e-02       1.622982511658e+04 
       3.822469860098e-02       1.615645499317e+04 
       3.840530138677e-02       1.608192189245e+04 
       3.858734511632e-02       1.600758535262e+04 
       3.877088120529e-02       1.593178610092e+04 
       3.895596353860e-02       1.585861415250e+04 
       3.914264862698e-02       1.578418891477e+04 
       3.933099577601e-02       1.570958743535e+04 
       3.952106726893e-02       1.563603975533e+04 
       3.971292856434e-02       1.556107825631e+04 
       3.990664851064e-02       1.548753771906e+04 
       4.010229957851e-02       1.541284267555e+04 
       4.029995811355e-02       1.533890496536e+04 
       4.049970461108e-02       1.526403714456e+04 
       4.070162401547e-02       1.518948966979e+04 
       4.090580604666e-02       1.511534661064e+04 
       4.111234555675e-02       1.504024800620e+04 
       4.132134292025e-02       1.496586336738e+04 
       4.153290446151e-02       1.489271624267e+04 
       4.174714292390e-02       1.481733800834e+04 
       4.196417798548e-02       1.474374142299e+04 
       4.218413682680e-02       1.466841912858e+04 
       4.240715475716e-02       1.459361332098e+04 
       4.263337590673e-02       1.451999435151e+04 
       4.286295399263e-02       1.444526315971e+04 
       4.309605316888e-02       1.437005120183e+04 
       4.333284897093e-02       1.429422132233e+04 
       4.357352936776e-02       1.422005835463e+04 
       4.381829593633e-02       1.414457971586e+04 
       4.406736517530e-02       1.406924698701e+04 
       4.432096997830e-02       1.399240857184e+04 
       4.457936128993e-02       1.391788259303e+04 
       4.484280997189e-02       1.384163472458e+04 
       4.511160891146e-02       1.376570003856e+04 
       4.538607541016e-02       1.368843344622e+04 
       4.566655389770e-02       1.361143130424e+04 
       4.595341902439e-02       1.353550021329e+04 
       4.624707919570e-02       1.345777956966e+04 
       4.654798062507e-02       1.337962563071e+04 
       4.685661199644e-02       1.330148300635e+04 
       4.717350984659e-02       1.322330051185e+04 
       4.749926480106e-02       1.314333694455e+04 
       4.783452882581e-02       1.306440218294e+04 
       4.818002369297e-02       1.298435710041e+04 
       4.853655090391e-02       1.290207227770e+04 
       4.890500336909e-02       1.282063678994e+04 
       4.928637921544e-02       1.273886021386e+04 
       4.968179818169e-02       1.265689823871e+04 
       5.009252117623e-02       1.257324349411e+04 
       5.051997371718e-02       1.248804530961e+04 
       5.096577415933e-02       1.240068932996e+04 
       5.143176784822e-02       1.231484061224e+04 
       5.192006864172e-02       1.222622958767e+04 
       5.243310961951e-02       1.213703505022e+04 
       5.297370527741e-02       1.204441971388e+04 
       5.354512809167e-02       1.195006163484e+04 
       5.415120304158e-02       1.185503767675e+04 
       5.479642447420e-02       1.175719466161e+04 
       5.548610049526e-02       1.165429980331e+04 
       5.622653065466e-02       1.155061477478e+04 
       5.702522256772e-02       1.144123706022e+04 
       5.789115124879e-02       1.132718681840e+04 
       5.883505931362e-02       1.120538182430e+04 
       5.986978307225e-02       1.107871825714e+04 
       6.101056238396e-02       1.094025422419e+04 
       6.227524105869e-02       1.078961481700e+04 
       6.368417819253e-02       1.062312154730e+04 
       6.525956722641e-02       1.043576920589e+04 
       6.702373799284e-02       1.022127913885e+04 
       6.899603652262e-02       9.973902934386e+03 
       7.118830965986e-02       9.684425610134e+03 
       7.360008369342e-02       9.349718030009e+03 
       7.621578571103e-02       8.965480678675e+03 
       7.900635095273e-02       8.536630487123e+03 
       8.193522205475e-02       8.075972094400e+03 
       8.496578242903e-02       7.598717344209e+03 
       8.806678021303e-02       7.122742445795e+03 
       9.121443528789e-02       6.668077441731e+03 
       9.439204436274e-02       6.247794183673e+03 
       9.758848852443e-02       5.873684120768e+03 
       1.007966200989e-01       5.549986720874e+03 
       1.040119448294e-01       5.277737208563e+03 
       1.072316755144e-01       5.053943500495e+03 
       1.104540981640e-01       4.872891532170e+03 
       1.136781641216e-01       4.725575523982e+03 
       1.169032337116e-01       4.601984557372e+03 
       1.201289173717e-01       4.493754700747e+03 
       1.233549780274e-01       4.389846544730e+03 
       1.265812714051e-01       4.284063375481e+03 
       1.298077096514e-01       4.169338576723e+03 
       1.330342391988e-01       4.042883853064e+03 
       1.362608273136e-01       3.903028881185e+03 
       1.394874539244e-01       3.751241190663e+03 
       1.427141066613e-01       3.591854693106e+03 
       1.459407778425e-01       3.428028584741e+03 
       1.491674626452e-01       3.265699027651e+03 
       1.523941579944e-01       3.109152333516e+03 
       1.556208618867e-01       2.962514553449e+03 
       1.588475729801e-01       2.829676891468e+03 
       1.620742903435e-01       2.711839008139e+03 
       1.653010133036e-01       2.609877895171e+03 
       1.685277413517e-01       2.523454061316e+03 
       1.717544740865e-01       2.450802260939e+03 
       1.749812111781e-01       2.389749587578e+03 
       1.782079523463e-01       2.337530743844e+03 
       1.814346973464e-01       2.291142395296e+03 
       1.846614459605e-01       2.248009909881e+03 
       1.878881979915e-01       2.204955083090e+03 
       1.911149532592e-01       2.160347853219e+03 
       1.943417115976e-01       2.112036051147e+03 
       1.975684728529e-01       2.059157545411e+03 
       2.007952368821e-01       2.001978723863e+03 
       2.040220035518e-01       1.941035434241e+03 
       2.072487727372e-01       1.877703917948e+03 
       2.104755443215e-01       1.813647875946e+03 
       2.137023181949e-01       1.750216467839e+03 
       2.169290942546e-01       1.689000372252e+03 
       2.201558724036e-01       1.631401138479e+03 
       2.233826525507e-01       1.578006340284e+03 
       2.266094346099e-01       1.529549870995e+03 
       2.298362185000e-01       1.486089521091e+03 
       2.330630041446e-01       1.447469833213e+03 
       2.362897914712e-01       1.413644397064e+03 
       2.395165804114e-01       1.383683582833e+03 
       2.427433709005e-01       1.356690845708e+03 
       2.459701628770e-01       1.331769156553e+03 
       2.491969562828e-01       1.308004632021e+03 
       2.524237510628e-01       1.284602071220e+03 
       2.556505471646e-01       1.260739770804e+03 
       2.588773445385e-01       1.235887526003e+03 
       2.621041431371e-01       1.210185013487e+03 
       2.653309429156e-01       1.183151269761e+03 
       2.685577438312e-01       1.155165035945e+03 
       2.717845458431e-01       1.126491810924e+03 
