# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.817914357602e-02       7.657017694890e+03 
       4.853564931976e-02       7.609417758650e+03 
       4.890407865592e-02       7.561342154923e+03 
       4.928542951496e-02       7.512934588413e+03 
       4.968082140832e-02       7.463974252041e+03 
       5.009151498017e-02       7.414543785427e+03 
       5.051893544019e-02       7.364521953112e+03 
       5.096470078131e-02       7.313882911632e+03 
       5.143065592250e-02       7.262465347068e+03 
       5.191891421625e-02       7.210381301542e+03 
       5.243190814047e-02       7.157208431722e+03 
       5.297245147082e-02       7.103130432851e+03 
       5.354381581751e-02       7.047979809866e+03 
       5.414982511359e-02       6.991478804748e+03 
       5.479497243713e-02       6.933271950180e+03 
       5.548456435009e-02       6.873416160913e+03 
       5.622489852163e-02       6.811556882562e+03 
       5.702348027831e-02       6.747234886734e+03 
       5.788928186332e-02       6.679821969904e+03 
       5.883304257550e-02       6.608758454717e+03 
       5.986759484173e-02       6.533319557991e+03 
       6.100817415717e-02       6.451729449222e+03 
       6.227261979135e-02       6.363039553334e+03 
       6.368128682835e-02       6.264943757568e+03 
       6.525636656014e-02       6.154458252978e+03 
       6.702019064525e-02       6.028108016356e+03 
       6.899211351682e-02       5.881947278193e+03 
       7.118399884244e-02       5.711636285506e+03 
       7.359539700321e-02       5.513849672227e+03 
       7.621076071894e-02       5.287426096546e+03 
       7.900104405551e-02       5.034927366841e+03 
       8.192969609551e-02       4.763166918091e+03 
       8.496009510115e-02       4.481430224651e+03 
       8.806097767773e-02       4.201022463756e+03 
       9.120855108077e-02       3.932644859098e+03 
       9.438610130345e-02       3.685008151167e+03 
       9.758250148885e-02       3.463955723752e+03 
       1.007905985226e-01       3.273097079280e+03 
       1.040058945957e-01       3.112670623020e+03 
       1.072256002531e-01       2.980708069073e+03 
       1.104480001003e-01       2.873708724813e+03 
       1.136720446145e-01       2.786670421029e+03 
       1.168970935893e-01       2.714051099084e+03 
       1.201227571382e-01       2.649977639599e+03 
       1.233487979894e-01       2.589028019777e+03 
       1.265750717494e-01       2.526444176790e+03 
       1.298014904919e-01       2.458858187926e+03 
       1.330280006049e-01       2.384182804051e+03 
       1.362545693278e-01       2.301763551777e+03 
       1.394811765730e-01       2.212544015741e+03 
       1.427078099605e-01       2.118290586512e+03 
       1.459344618024e-01       2.021789609705e+03 
       1.491611272723e-01       1.925991978243e+03 
       1.523878032927e-01       1.833591706021e+03 
       1.556144878591e-01       1.747232010533e+03 
       1.588411796284e-01       1.668745894626e+03 
       1.620678776691e-01       1.599264353687e+03 
       1.652945813074e-01       1.539185887143e+03 
       1.685212900346e-01       1.488142077363e+03 
       1.717480034491e-01       1.445292686617e+03 
       1.749747212209e-01       1.409301055478e+03 
       1.782014430698e-01       1.378493624609e+03 
       1.814281687510e-01       1.351109588602e+03 
       1.846548980466e-01       1.325638291958e+03 
       1.878816307594e-01       1.300461835757e+03 
       1.911083667092e-01       1.274012997100e+03 
       1.943351057300e-01       1.245477520270e+03 
       1.975618476680e-01       1.214362221512e+03 
       2.007885923801e-01       1.180619965932e+03 
       2.040153397330e-01       1.144703225722e+03 
       2.072420896018e-01       1.107342240846e+03 
       2.104688418696e-01       1.069514207506e+03 
       2.136955964269e-01       1.032161780974e+03 
       2.169223531706e-01       9.961286093981e+02 
       2.201491120037e-01       9.620774313433e+02 
       2.233758728350e-01       9.305881983454e+02 
       2.266026355787e-01       9.019857335273e+02 
       2.298294001534e-01       8.763740082774e+02 
       2.330561664827e-01       8.536673649273e+02 
       2.362829344942e-01       8.336739066002e+02 
       2.395097041194e-01       8.159478390727e+02 
       2.427364752935e-01       8.000449213480e+02 
       2.459632479552e-01       7.854012750813e+02 
       2.491900220464e-01       7.713712414323e+02 
       2.524167975118e-01       7.575562360570e+02 
       2.556435742990e-01       7.434526574389e+02 
       2.588703523585e-01       7.288590455675e+02 
       2.620971316428e-01       7.136474672629e+02 
       2.653239121071e-01       6.977206328084e+02 
       2.685506937084e-01       6.812225940837e+02 
       2.717774764062e-01       6.643264374182e+02 
       2.750042601616e-01       6.472324405986e+02 
       2.782310449375e-01       6.302782828785e+02 
       2.814578306987e-01       6.136794455144e+02 
       2.846846174115e-01       5.977654378400e+02 
       2.879114050436e-01       5.827371566450e+02 
       2.911381935645e-01       5.687118772551e+02 
       2.943649829446e-01       5.557651840306e+02 
       2.975917731559e-01       5.438613597360e+02 
       3.008185641715e-01       5.329097380753e+02 
       3.040453559656e-01       5.228039384417e+02 
       3.072721485136e-01       5.133355919744e+02 
       3.104989417919e-01       5.044038040218e+02 
       3.137257357778e-01       4.958351171369e+02 
       3.169525304496e-01       4.874414366222e+02 
       3.201793257865e-01       4.790883422698e+02 
       3.234061217684e-01       4.706924387724e+02 
       3.266329183761e-01       4.621750663948e+02 
       3.298597155912e-01       4.535240336893e+02 
       3.330865133960e-01       4.447253702506e+02 
       3.363133117734e-01       4.358690257193e+02 
       3.395401107069e-01       4.270318524404e+02 
       3.427669101809e-01       4.182537552259e+02 
       3.459937101801e-01       4.096698062659e+02 
       3.492205106899e-01       4.013220830667e+02 
       3.524473116962e-01       3.932830072310e+02 
       3.556741131854e-01       3.855606544065e+02 
       3.589009151444e-01       3.782497130697e+02 
       3.621277175607e-01       3.712944405299e+02 
       3.653545204221e-01       3.647316451732e+02 
       3.685813237168e-01       3.585154423758e+02 
       3.718081274334e-01       3.525904220884e+02 
       3.750349315612e-01       3.469034330507e+02 
       3.782617360894e-01       3.414049391573e+02 
       3.814885410079e-01       3.360178100030e+02 
       3.847153463068e-01       3.307119022392e+02 
       3.879421519766e-01       3.254571053828e+02 
       3.911689580081e-01       3.202208278537e+02 
       3.943957643923e-01       3.150274113790e+02 
       3.976225711207e-01       3.098565506352e+02 
       4.008493781849e-01       3.046920741010e+02 
       4.040761855768e-01       2.995733463051e+02 
       4.073029932886e-01       2.945080310968e+02 
       4.105298013127e-01       2.895270934500e+02 
       4.137566096418e-01       2.846509785411e+02 
       4.169834182688e-01       2.799090313899e+02 
       4.202102271867e-01       2.753027626052e+02 
       4.234370363890e-01       2.708350813749e+02 
       4.266638458692e-01       2.665256643749e+02 
       4.298906556209e-01       2.623600350191e+02 
       4.331174656380e-01       2.583371479021e+02 
       4.363442759147e-01       2.544393655221e+02 
       4.395710864453e-01       2.506671968762e+02 
       4.427978972241e-01       2.470002315979e+02 
       4.460247082457e-01       2.434274648147e+02 
       4.492515195049e-01       2.399322672432e+02 
       4.524783309966e-01       2.364976746398e+02 
       4.557051427159e-01       2.331108963511e+02 
       4.589319546578e-01       2.297587755602e+02 
       4.621587668178e-01       2.264483455476e+02 
       4.653855791913e-01       2.231750254274e+02 
       4.686123917739e-01       2.199416467988e+02 
       4.718392045612e-01       2.167511153246e+02 
       4.903398684775e-01       1.994967592232e+02 
       5.101808916604e-01       1.834734282499e+02 
       5.316159777690e-01       1.682351802517e+02 
       5.549850815215e-01       1.532885385224e+02 
       5.807573775917e-01       1.390108697681e+02 
       6.096037565882e-01       1.251535764970e+02 
       6.425258304123e-01       1.115435010988e+02 
       6.811003658375e-01       9.813374704008e+01 
       7.279774385130e-01       8.467987634534e+01 
       7.879795572789e-01       7.095109179837e+01 
       8.706883585124e-01       5.664834718934e+01 
       9.962023949991e-01       4.165941367884e+01 
       1.199790826854e+00       2.707718772850e+01 
