# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.820042385502e+13       2.282081480953e-24       2.546948962845e-08       7.146028577166e+20       1.417361092952e+04       7.787516951486e-10       2.579657264736e+17       1.470469857641e-08       3.019291748142e+41       1.501486372751e+31       8.050524106700e+31       3.463692243488e-08       2.087280693470e+41       5.106572442567e+41       5.106572442567e+41       1.702190813871e+41      -2.673323280073e+49       2.383825256353e-05       4.537770655595e-01 
       1.818576158883e+13       2.285762819796e-24       2.548949851189e-08       7.134519529915e+20       1.417361092952e+04       7.793795635279e-10       2.577579092171e+17       1.471655423634e-08       3.009574129928e+41       1.497860501885e+31       8.031083263712e+31       3.463692243488e-08       2.080562761393e+41       5.090136892274e+41       5.090136892274e+41       1.696712297107e+41      -2.662572466098e+49       2.384697045684e-05       4.536111753039e-01 
       1.817111113456e+13       2.289450097186e-24       2.550950739533e-08       7.123029018578e+20       1.417361092952e+04       7.800079381260e-10       2.575502593783e+17       1.472841945489e-08       2.999887787958e+41       1.494243386968e+31       8.011689367529e+31       3.463692243488e-08       2.073866451042e+41       5.073754239950e+41       5.073754239950e+41       1.691251413000e+41      -2.651864886699e+49       2.385568835014e-05       4.534454062953e-01 
       1.815647248269e+13       2.293143322702e-24       2.553133526817e-08       7.111557013301e+20       1.417361092952e+04       7.806368193510e-10       2.573427768223e+17       1.474029423977e-08       2.990232621568e+41       1.490635006857e+31       7.992342304780e+31       3.463692243488e-08       2.067191692827e+41       5.057424315344e+41       5.057424315344e+41       1.685808104798e+41      -2.641200368009e+49       2.386440624345e-05       4.532797584005e-01 
       1.814184562373e+13       2.296842505940e-24       2.555134415161e-08       7.100103484280e+20       1.417361092952e+04       7.812662076112e-10       2.571354614143e+17       1.475217859870e-08       2.980608530420e+41       1.487035340458e+31       7.973041962369e+31       3.463692243488e-08       2.060538417383e+41       5.041146948749e+41       5.041146948749e+41       1.680382315934e+41      -2.630578736858e+49       2.387312413675e-05       4.531142314871e-01 
       1.812723054818e+13       2.300547656507e-24       2.557135303505e-08       7.088668401758e+20       1.417361092952e+04       7.818961033157e-10       2.569283130196e+17       1.476407253938e-08       2.971015414497e+41       1.483444366729e+31       7.953788227473e+31       3.463692243488e-08       2.053906555568e+41       5.024921971009e+41       5.024921971009e+41       1.674973990022e+41      -2.619999820773e+49       2.388184203006e-05       4.529488254224e-01 
       1.811262724653e+13       2.304258784031e-24       2.559318090789e-08       7.077251736025e+20       1.417361092952e+04       7.825265068734e-10       2.567213315038e+17       1.477597606955e-08       2.961453174106e+41       1.479862064679e+31       7.934580987542e+31       3.463692243488e-08       2.047296038460e+41       5.008749213508e+41       5.008749213508e+41       1.669583070855e+41      -2.609463447975e+49       2.389055992336e-05       4.527835400743e-01 
       1.809803570930e+13       2.307975898152e-24       2.561318979133e-08       7.065853457421e+20       1.417361092952e+04       7.831574186938e-10       2.565145167322e+17       1.478788919694e-08       2.951921709874e+41       1.476288413366e+31       7.915420130298e+31       3.463692243488e-08       2.040706797362e+41       4.992628508175e+41       4.992628508175e+41       1.664209502412e+41      -2.598969447375e+49       2.389927781667e-05       4.526183753104e-01 
       1.808345592702e+13       2.311699008525e-24       2.563319867477e-08       7.054473536332e+20       1.417361092952e+04       7.837888391868e-10       2.563078685708e+17       1.479981192929e-08       2.942420922747e+41       1.472723391901e+31       7.896305543733e+31       3.463692243488e-08       2.034138763798e+41       4.976559687481e+41       4.976559687481e+41       1.658853228848e+41      -2.588517648572e+49       2.390799570998e-05       4.524533309991e-01 
       1.806888789022e+13       2.315428124823e-24       2.565502654761e-08       7.043111943192e+20       1.417361092952e+04       7.844207687623e-10       2.561013868851e+17       1.481174427433e-08       2.932950713990e+41       1.469166979443e+31       7.877237116110e+31       3.463692243488e-08       2.027591869509e+41       4.960542584434e+41       4.960542584434e+41       1.653514194500e+41      -2.578107881853e+49       2.391671360328e-05       4.522884070085e-01 
       1.805433158943e+13       2.319163256734e-24       2.567503543105e-08       7.031768648484e+20       1.417361092952e+04       7.850532078310e-10       2.558950715411e+17       1.482368623982e-08       2.923510985187e+41       1.465619155203e+31       7.858214735962e+31       3.463692243488e-08       2.021066046460e+41       4.944577032580e+41       4.944577032580e+41       1.648192343883e+41      -2.567739978183e+49       2.392543149659e-05       4.521236032071e-01 
