# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       3.717827685206e+09       5.468999336911e-17       1.246812371392e-04       2.981864462216e+13       1.414785829618e+04       3.805409903388e-06       5.259929927404e+13       7.198474270556e-05       5.256977289445e+26       1.279807528379e+20       6.861947964450e+20       3.463692243488e-08       3.634225546113e+26       8.891210977314e+26       8.891210977314e+26       2.963734278520e+26      -9.508190982985e+30       1.171372574048e-04       9.346132256398e-02 
       3.714832602254e+09       5.477821653197e-17       1.247817617696e-04       2.977062014992e+13       1.414785829608e+04       3.808478014241e-06       5.255692526448e+13       7.204278041953e-05       5.240057659771e+26       1.276716979629e+20       6.845377359704e+20       3.463692243488e-08       3.622528757824e+26       8.862594539690e+26       8.862594539690e+26       2.954195472532e+26      -9.469953632292e+30       1.171460805122e-04       9.345428445893e-02 
       3.711839932141e+09       5.486658201202e-17       1.248823664355e-04       2.972267302358e+13       1.414785829598e+04       3.811548598757e-06       5.251458539143e+13       7.210086492642e-05       5.223192486080e+26       1.273633894104e+20       6.828846770556e+20       3.463692243488e-08       3.610869615756e+26       8.834070204316e+26       8.834070204316e+26       2.944687367279e+26      -9.431870053753e+30       1.171549036197e-04       9.344724741484e-02 
       3.708849672925e+09       5.495509003883e-17       1.249830529559e-04       2.967480311859e+13       1.414785829588e+04       3.814621658932e-06       5.247227962739e+13       7.215899626393e-05       5.206381593105e+26       1.270558253782e+20       6.812356100372e+20       3.463692243488e-08       3.599247998743e+26       8.805637674763e+26       8.805637674763e+26       2.935209863949e+26      -9.393939628972e+30       1.171637267274e-04       9.344021143148e-02 
       3.705861822661e+09       5.504374084236e-17       1.250838213309e-04       2.962701031057e+13       1.414785829577e+04       3.817697196761e-06       5.243000794488e+13       7.221717446984e-05       5.189624806143e+26       1.267490040683e+20       6.795905252754e+20       3.463692243488e-08       3.587663786012e+26       8.777296655550e+26       8.777296655550e+26       2.925762864052e+26      -9.356161742037e+30       1.171725498351e-04       9.343317650860e-02 
       3.702876379411e+09       5.513253465292e-17       1.251846697414e-04       2.957929447535e+13       1.414785829567e+04       3.820775214241e-06       5.238777031646e+13       7.227539958192e-05       5.172921951055e+26       1.264429236872e+20       6.779494131537e+20       3.463692243488e-08       3.576116857175e+26       8.749046852153e+26       8.749046852153e+26       2.916346269410e+26      -9.318535779516e+30       1.171813729430e-04       9.342614264597e-02 
       3.699893341235e+09       5.522147170121e-17       1.252856000065e-04       2.953165548897e+13       1.414785829557e+04       3.823855713372e-06       5.234556671467e+13       7.233367163800e-05       5.156272854258e+26       1.261375824456e+20       6.763122640788e+20       3.463692243488e-08       3.564607092235e+26       8.720887970992e+26       8.720887970992e+26       2.906959982165e+26      -9.281061130442e+30       1.171901960509e-04       9.341910984334e-02 
       3.696912706195e+09       5.531055221827e-17       1.253866121260e-04       2.948409322765e+13       1.414785829547e+04       3.826938696155e-06       5.230339711212e+13       7.239199067593e-05       5.139677342733e+26       1.258329785586e+20       6.746790684803e+20       3.463692243488e-08       3.553134371579e+26       8.692819719433e+26       8.692819719433e+26       2.897603904771e+26      -9.243737186305e+30       1.171990191590e-04       9.341207810049e-02 
       3.693934472355e+09       5.539977643556e-17       1.254877042811e-04       2.943660756782e+13       1.414785829537e+04       3.830024164592e-06       5.226126148142e+13       7.245035673358e-05       5.123135244014e+26       1.255291102456e+20       6.730498168113e+20       3.463692243488e-08       3.541698575980e+26       8.664841805783e+26       8.664841805783e+26       2.888277939998e+26      -9.206563341043e+30       1.172078422672e-04       9.340504741716e-02 
       3.690958637782e+09       5.548914458487e-17       1.255888782907e-04       2.938919838612e+13       1.414785829527e+04       3.833112120687e-06       5.221915979519e+13       7.250876984886e-05       5.106646386191e+26       1.252259757304e+20       6.714244995478e+20       3.463692243488e-08       3.530299586594e+26       8.636953939290e+26       8.636953939290e+26       2.878981990928e+26      -9.169538991030e+30       1.172166653755e-04       9.339801779313e-02 
       3.687985200541e+09       5.557865689838e-17       1.256901359739e-04       2.934186555937e+13       1.414785829517e+04       3.836202566446e-06       5.217709202608e+13       7.256723005971e-05       5.090210597909e+26       1.249235732408e+20       6.698031071886e+20       3.463692243488e-08       3.518937284960e+26       8.609155830136e+26       8.609155830136e+26       2.869715960956e+26      -9.132663535069e+30       1.172254884839e-04       9.339098922815e-02 
       3.685014158703e+09       5.566831360865e-17       1.257914736925e-04       2.929460896461e+13       1.414785829507e+04       3.839295503876e-06       5.213505814679e+13       7.262573740411e-05       5.073827708362e+26       1.246219010092e+20       6.681856302559e+20       3.463692243488e-08       3.507611552998e+26       8.581447189436e+26       8.581447189436e+26       2.860479753787e+26      -9.095936374380e+30       1.172343115924e-04       9.338396172199e-02 
       3.682045510336e+09       5.575811494861e-17       1.258928914467e-04       2.924742847904e+13       1.414785829497e+04       3.842390934987e-06       5.209305812999e+13       7.268429192005e-05       5.057497547296e+26       1.243209572721e+20       6.665720592943e+20       3.463692243488e-08       3.496322273009e+26       8.553827729235e+26       8.553827729235e+26       2.851273273435e+26      -9.059356912590e+30       1.172431347010e-04       9.337693527440e-02 
       3.679079253513e+09       5.584806115156e-17       1.259943928744e-04       2.920032398010e+13       1.414785829486e+04       3.845488861788e-06       5.205109194843e+13       7.274289364557e-05       5.041219945003e+26       1.240207402703e+20       6.649623848715e+20       3.463692243488e-08       3.485069327670e+26       8.526297162505e+26       8.526297162505e+26       2.842096424225e+26      -9.022924555727e+30       1.172519578097e-04       9.336990988515e-02 
       3.676115386308e+09       5.593815245118e-17       1.260959761566e-04       2.915329534540e+13       1.414785829476e+04       3.848589286291e-06       5.200915957483e+13       7.280154261873e-05       5.024994732323e+26       1.237212482488e+20       6.633565975780e+20       3.463692243488e-08       3.473852600040e+26       8.498855203141e+26       8.498855203141e+26       2.832949110788e+26      -8.986638712205e+30       1.172607809185e-04       9.336288555400e-02 
       3.673153906794e+09       5.602838908153e-17       1.261976412934e-04       2.910634245277e+13       1.414785829466e+04       3.851692210511e-06       5.196726098196e+13       7.286023887762e-05       5.008821740638e+26       1.234224794569e+20       6.617546880269e+20       3.463692243488e-08       3.462671973551e+26       8.471501565960e+26       8.471501565960e+26       2.823831238063e+26      -8.950498792819e+30       1.172696040274e-04       9.335586228071e-02 
       3.670194813050e+09       5.611877127703e-17       1.262993882847e-04       2.905946518021e+13       1.414785829456e+04       3.854797636463e-06       5.192539614260e+13       7.291898246037e-05       4.992700801876e+26       1.231244321482e+20       6.601566468540e+20       3.463692243488e-08       3.451527332010e+26       8.444235966697e+26       8.444235966697e+26       2.814742711295e+26      -8.914504210731e+30       1.172784271365e-04       9.334884006505e-02 
