# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.111234555675e-02       8.858846170994e+03 
       4.132134292025e-02       8.815059671625e+03 
       4.153290446151e-02       8.771135600981e+03 
       4.174714292390e-02       8.727431426748e+03 
       4.196417798548e-02       8.683478489215e+03 
       4.218413682680e-02       8.639576707398e+03 
       4.240715475716e-02       8.595577137129e+03 
       4.263337590673e-02       8.551691890895e+03 
       4.286295399263e-02       8.507554836339e+03 
       4.309605316888e-02       8.463562520955e+03 
       4.333284897093e-02       8.419283404454e+03 
       4.357352936776e-02       8.375085235274e+03 
       4.381829593633e-02       8.330622918841e+03 
       4.406736517530e-02       8.286205373846e+03 
       4.432096997830e-02       8.241678029944e+03 
       4.457936128993e-02       8.196985129057e+03 
       4.484280997189e-02       8.152238457506e+03 
       4.511160891146e-02       8.107477770102e+03 
       4.538607541016e-02       8.062313121459e+03 
       4.566655389770e-02       8.017027981369e+03 
       4.595341902439e-02       7.971772567742e+03 
       4.624707919570e-02       7.926066565225e+03 
       4.654798062507e-02       7.880275490521e+03 
       4.685661199644e-02       7.834281275773e+03 
       4.717350984659e-02       7.787962178525e+03 
       4.749926480106e-02       7.741365788418e+03 
       4.783452882581e-02       7.694446812169e+03 
       4.818002369297e-02       7.647240809584e+03 
       4.853655090391e-02       7.599650970984e+03 
       4.890500336909e-02       7.551748494759e+03 
       4.928637921544e-02       7.503360391557e+03 
       4.968179818169e-02       7.454461676740e+03 
       5.009252117623e-02       7.405130962454e+03 
       5.051997371718e-02       7.355326305242e+03 
       5.096577415933e-02       7.304577404121e+03 
       5.143176784822e-02       7.253319518273e+03 
       5.192006864172e-02       7.201100992403e+03 
       5.243310961951e-02       7.148160496430e+03 
       5.297370527741e-02       7.094115720127e+03 
       5.354512809167e-02       7.038903438387e+03 
       5.415120304158e-02       6.982582796322e+03 
       5.479642447420e-02       6.924379582812e+03 
       5.548610049526e-02       6.864601887537e+03 
       5.622653065466e-02       6.802889141589e+03 
       5.702522256772e-02       6.738616896919e+03 
       5.789115124879e-02       6.671318542665e+03 
       5.883505931362e-02       6.600361099385e+03 
       5.986978307225e-02       6.524915274355e+03 
       6.101056238396e-02       6.443442340887e+03 
       6.227524105869e-02       6.354874258786e+03 
       6.368417819253e-02       6.256758118432e+03 
       6.525956722641e-02       6.146509402656e+03 
       6.702373799284e-02       6.020246583477e+03 
       6.899603652262e-02       5.874323188019e+03 
       7.118830965986e-02       5.704119131800e+03 
       7.360008369342e-02       5.506550002060e+03 
       7.621578571103e-02       5.280303926725e+03 
       7.900635095273e-02       5.028181325389e+03 
       8.193522205475e-02       4.756609925177e+03 
       8.496578242903e-02       4.475315156062e+03 
       8.806678021303e-02       4.195366165973e+03 
       9.121443528789e-02       3.927272595530e+03 
       9.439204436274e-02       3.679968844147e+03 
       9.758848852443e-02       3.459295556026e+03 
       1.007966200989e-01       3.268742937538e+03 
       1.040119448294e-01       3.108505511462e+03 
       1.072316755144e-01       2.976793555607e+03 
       1.104540981640e-01       2.869967507346e+03 
       1.136781641216e-01       2.783136623241e+03 
       1.169032337116e-01       2.710579923249e+03 
       1.201289173717e-01       2.646631925219e+03 
       1.233549780274e-01       2.585681224707e+03 
       1.265812714051e-01       2.523223863762e+03 
       1.298077096514e-01       2.455723812549e+03 
       1.330342391988e-01       2.381076894636e+03 
       1.362608273136e-01       2.298777837885e+03 
       1.394874539244e-01       2.209594134603e+03 
       1.427141066613e-01       2.115549817817e+03 
       1.459407778425e-01       2.019115905446e+03 
       1.491674626452e-01       1.923399388967e+03 
       1.523941579944e-01       1.831181784088e+03 
       1.556208618867e-01       1.744925554225e+03 
       1.588475729801e-01       1.666546309949e+03 
       1.620742903435e-01       1.597174745299e+03 
       1.653010133036e-01       1.537154730718e+03 
       1.685277413517e-01       1.486204826168e+03 
       1.717544740865e-01       1.443455357249e+03 
       1.749812111781e-01       1.407500998291e+03 
       1.782079523463e-01       1.376748087662e+03 
       1.814346973464e-01       1.349414486060e+03 
       1.846614459605e-01       1.323984847663e+03 
       1.878881979915e-01       1.298779240635e+03 
       1.911149532592e-01       1.272399979255e+03 
       1.943417115976e-01       1.243890198484e+03 
       1.975684728529e-01       1.212783730361e+03 
       2.007952368821e-01       1.179069129533e+03 
       2.040220035518e-01       1.143186657706e+03 
       2.072487727372e-01       1.105911971166e+03 
       2.104755443215e-01       1.068158328142e+03 
