# Matter power spectrum P(k) at redshift z=0
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.734113863504e-02       1.647096142283e+04 
       3.751522805277e-02       1.639676043874e+04 
       3.769053356676e-02       1.632246332138e+04 
       3.786709622443e-02       1.624797429600e+04 
       3.804495891244e-02       1.617375902686e+04 
       3.822416646510e-02       1.609983835402e+04 
       3.840476578071e-02       1.602542548060e+04 
       3.858680594674e-02       1.595150262738e+04 
       3.877033837451e-02       1.587726808298e+04 
       3.895541694433e-02       1.580308688138e+04 
       3.914209816201e-02       1.572906318260e+04 
       3.933044132792e-02       1.565494062252e+04 
       3.952050871973e-02       1.558101530661e+04 
       3.971236579013e-02       1.550699144569e+04 
       3.990608138120e-02       1.543291669667e+04 
       4.010172795686e-02       1.535912796556e+04 
       4.029938185549e-02       1.528491130171e+04 
       4.049912356470e-02       1.521089624917e+04 
       4.070103802057e-02       1.513686594356e+04 
       4.090521493416e-02       1.506273371191e+04 
       4.111174914802e-02       1.498888417606e+04 
       4.132074102640e-02       1.491447280597e+04 
       4.153229688260e-02       1.484046819107e+04 
       4.174652944807e-02       1.476627907476e+04 
       4.196355838798e-02       1.469204100926e+04 
       4.218351086895e-02       1.461778533337e+04 
       4.240652218522e-02       1.454337168826e+04 
       4.263273645058e-02       1.446927937361e+04 
       4.286230736438e-02       1.439442733225e+04 
       4.309539906128e-02       1.431971273375e+04 
       4.333218705561e-02       1.424520080414e+04 
       4.357285929333e-02       1.417037191741e+04 
       4.381761732616e-02       1.409505825491e+04 
       4.406667762511e-02       1.401987722718e+04 
       4.432027305342e-02       1.394453912462e+04 
       4.457865452223e-02       1.386898158107e+04 
       4.484209285634e-02       1.379319948417e+04 
       4.511088090217e-02       1.371712215901e+04 
       4.538533591599e-02       1.364091285289e+04 
       4.566580227721e-02       1.356428087299e+04 
       4.595265458006e-02       1.348790117339e+04 
       4.624630116739e-02       1.341031452056e+04 
       4.654718818246e-02       1.333291198060e+04 
       4.685580423033e-02       1.325518629262e+04 
       4.717268575886e-02       1.317697460323e+04 
       4.749842329305e-02       1.309788947032e+04 
       4.783366868471e-02       1.301849224691e+04 
       4.817914357602e-02       1.293880175626e+04 
       4.853564931976e-02       1.285847902199e+04 
       4.890407865592e-02       1.277705989735e+04 
       4.928542951496e-02       1.269529647720e+04 
       4.968082140832e-02       1.261249131268e+04 
       5.009151498017e-02       1.252899949850e+04 
       5.051893544019e-02       1.244440989343e+04 
       5.096470078131e-02       1.235871299378e+04 
       5.143065592250e-02       1.227226088444e+04 
       5.191891421625e-02       1.218426942161e+04 
       5.243190814047e-02       1.209419206850e+04 
       5.297245147082e-02       1.200303326584e+04 
       5.354381581751e-02       1.190985199900e+04 
       5.414982511359e-02       1.181417390885e+04 
       5.479497243713e-02       1.171612944427e+04 
       5.548456435009e-02       1.161496896444e+04 
       5.622489852163e-02       1.151042987520e+04 
       5.702348027831e-02       1.140164138545e+04 
       5.788928186332e-02       1.128756603426e+04 
       5.883304257550e-02       1.116737096787e+04 
       5.986759484173e-02       1.104015281764e+04 
       6.100817415717e-02       1.090196564803e+04 
       6.227261979135e-02       1.075234951972e+04 
       6.368128682835e-02       1.058660014339e+04 
       6.525636656014e-02       1.039987883698e+04 
       6.702019064525e-02       1.018616015887e+04 
       6.899211351682e-02       9.939104359744e+03 
       7.118399884244e-02       9.651603395380e+03 
       7.359539700321e-02       9.317415971532e+03 
       7.621076071894e-02       8.934763697972e+03 
       7.900104405551e-02       8.507926190451e+03 
       8.192969609551e-02       8.048869205939e+03 
       8.496009510115e-02       7.572719952537e+03 
       8.806097767773e-02       7.098960022101e+03 
       9.120855108077e-02       6.645441872262e+03 
       9.438610130345e-02       6.226983408555e+03 
       9.758250148885e-02       5.853504277221e+03 
       1.007905985226e-01       5.530956790101e+03 
       1.040058945957e-01       5.259857663668e+03 
       1.072256002531e-01       5.036865753485e+03 
       1.104480001003e-01       4.856032616940e+03 
       1.136720446145e-01       4.709009827650e+03 
       1.168970935893e-01       4.586220447596e+03 
       1.201227571382e-01       4.477929220236e+03 
       1.233487979894e-01       4.374906599023e+03 
       1.265750717494e-01       4.269129006105e+03 
       1.298014904919e-01       4.154946070026e+03 
       1.330280006049e-01       4.028831354550e+03 
       1.362545693278e-01       3.889462767267e+03 
       1.394811765730e-01       3.738800829956e+03 
       1.427078099605e-01       3.579448004879e+03 
       1.459344618024e-01       3.416373180796e+03 
       1.491611272723e-01       3.254590272412e+03 
       1.523878032927e-01       3.098458692021e+03 
       1.556144878591e-01       2.952524079779e+03 
       1.588411796284e-01       2.819869394738e+03 
       1.620678776691e-01       2.702469501542e+03 
       1.652945813074e-01       2.600939018481e+03 
       1.685212900346e-01       2.514702947783e+03 
       1.717480034491e-01       2.442275521274e+03 
       1.749747212209e-01       2.381487223031e+03 
       1.782014430698e-01       2.329385023196e+03 
       1.814281687510e-01       2.283156644306e+03 
       1.846548980466e-01       2.240060855277e+03 
       1.878816307594e-01       2.197538493233e+03 
       1.911083667092e-01       2.152808440197e+03 
       1.943351057300e-01       2.104576367598e+03 
       1.975618476680e-01       2.052038481464e+03 
       2.007885923801e-01       1.995030469390e+03 
       2.040153397330e-01       1.934345301045e+03 
       2.072420896018e-01       1.871186931074e+03 
       2.104688418696e-01       1.807255357712e+03 
       2.136955964269e-01       1.744155071876e+03 
       2.169223531706e-01       1.683286582097e+03 
       2.201491120037e-01       1.625734194600e+03 
       2.233758728350e-01       1.572541061309e+03 
       2.266026355787e-01       1.524175583087e+03 
       2.298294001534e-01       1.480913505443e+03 
       2.330561664827e-01       1.442559950644e+03 
       2.362829344942e-01       1.408761711570e+03 
       2.395097041194e-01       1.378798576549e+03 
       2.427364752935e-01       1.351949475739e+03 
       2.459632479552e-01       1.327171949928e+03 
       2.491900220464e-01       1.303462588547e+03 
       2.524167975118e-01       1.280129223087e+03 
       2.556435742990e-01       1.256267150992e+03 
       2.588703523585e-01       1.231613047759e+03 
       2.620971316428e-01       1.205930140496e+03 
       2.653239121071e-01       1.179010691668e+03 
       2.685506937084e-01       1.151126585595e+03 
       2.717774764062e-01       1.122566649432e+03 
       2.750042601616e-01       1.093695607847e+03 
       2.782310449375e-01       1.065040927125e+03 
       2.814578306987e-01       1.036994457774e+03 
       2.846846174115e-01       1.010127677415e+03 
       2.879114050436e-01       9.847217902338e+02 
       2.911381935645e-01       9.610328767219e+02 
       2.943649829446e-01       9.391523053609e+02 
       2.975917731559e-01       9.190202502533e+02 
       3.008185641715e-01       9.005158550938e+02 
       3.040453559656e-01       8.834461310800e+02 
       3.072721485136e-01       8.674532132620e+02 
       3.104989417919e-01       8.523420301452e+02 
       3.137257357778e-01       8.378736387530e+02 
       3.169525304496e-01       8.236847188587e+02 
       3.201793257865e-01       8.095608397990e+02 
       3.234061217684e-01       7.953763425847e+02 
       3.266329183761e-01       7.809788373668e+02 
       3.298597155912e-01       7.663682691815e+02 
       3.330865133960e-01       7.514932625930e+02 
       3.363133117734e-01       7.365290413931e+02 
       3.395401107069e-01       7.216034046721e+02 
       3.427669101809e-01       7.067783372399e+02 
       3.459937101801e-01       6.922758635300e+02 
       3.492205106899e-01       6.781475363769e+02 
       3.524473116962e-01       6.645787510387e+02 
       3.556741131854e-01       6.515370480193e+02 
       3.589009151444e-01       6.391750766249e+02 
       3.621277175607e-01       6.274269804535e+02 
       3.653545204221e-01       6.163378940838e+02 
       3.685813237168e-01       6.058196503612e+02 
       3.718081274334e-01       5.958212672727e+02 
       3.750349315612e-01       5.862110684144e+02 
       3.782617360894e-01       5.769113804661e+02 
       3.814885410079e-01       5.678067694725e+02 
       3.847153463068e-01       5.588409763346e+02 
       3.879421519766e-01       5.499555461045e+02 
       3.911689580081e-01       5.411232852007e+02 
       3.943957643923e-01       5.323265964181e+02 
       3.976225711207e-01       5.236011548012e+02 
       4.008493781849e-01       5.148613803231e+02 
       4.040761855768e-01       5.062119463516e+02 
       4.073029932886e-01       4.976535873601e+02 
       4.105298013127e-01       4.892367557266e+02 
       4.137566096418e-01       4.809976239429e+02 
       4.169834182688e-01       4.729921985530e+02 
       4.202102271867e-01       4.652084571744e+02 
       4.234370363890e-01       4.576677794533e+02 
       4.266638458692e-01       4.503855651582e+02 
       4.298906556209e-01       4.433463166825e+02 
       4.331174656380e-01       4.365443295198e+02 
       4.363442759147e-01       4.299578640336e+02 
