# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  185       7.199690851644e-10       1.028794297121e-13      -4.310006717357e-12       0.000000000000e+00 
  186       7.227496208574e-10       1.015748561367e-13      -4.189883457003e-12       0.000000000000e+00 
  187       7.254628565325e-10       1.003139627654e-13      -4.066212637026e-12       0.000000000000e+00 
  188       7.281077093127e-10       9.910150413461e-14      -3.939025393944e-12       0.000000000000e+00 
  189       7.306830885598e-10       9.794236301508e-14      -3.808355630881e-12       0.000000000000e+00 
  190       7.331878957783e-10       9.684155170264e-14      -3.674240055120e-12       0.000000000000e+00 
  191       7.356210978986e-10       9.580400701147e-14      -3.536716046593e-12       0.000000000000e+00 
  192       7.379819534619e-10       9.483395538872e-14      -3.395815006528e-12       0.000000000000e+00 
  193       7.402698032554e-10       9.393550255453e-14      -3.251568581039e-12       0.000000000000e+00 
  194       7.424839986037e-10       9.311283612996e-14      -3.104010815582e-12       0.000000000000e+00 
  195       7.446239015132e-10       9.237022625331e-14      -2.953178185409e-12       0.000000000000e+00 
  196       7.466888848160e-10       9.171202619636e-14      -2.799109626030e-12       0.000000000000e+00 
  197       7.486783323153e-10       9.114267298069e-14      -2.641846563669e-12       0.000000000000e+00 
  198       7.505916389292e-10       9.066668799391e-14      -2.481432945721e-12       0.000000000000e+00 
  199       7.524282108355e-10       9.028867760596e-14      -2.317915271216e-12       0.000000000000e+00 
  200       7.541874656158e-10       9.001333378538e-14      -2.151342621269e-12       0.000000000000e+00 
  201       7.558688324006e-10       8.984543471558e-14      -1.981766689543e-12       0.000000000000e+00 
  202       7.574717520132e-10       8.978984541110e-14      -1.809241812706e-12       0.000000000000e+00 
  203       7.589956771146e-10       8.985151833393e-14      -1.633825000890e-12       0.000000000000e+00 
  204       7.604400723475e-10       9.003549400974e-14      -1.455575968146e-12       0.000000000000e+00 
  205       7.618044144812e-10       9.034690164415e-14      -1.274557162905e-12       0.000000000000e+00 
  206       7.630881925562e-10       9.079095973907e-14      -1.090833798437e-12       0.000000000000e+00 
  207       7.642909080279e-10       9.137297670888e-14      -9.044738833041e-13       0.000000000000e+00 
  208       7.654120749120e-10       9.209835149679e-14      -7.155482518247e-13       0.000000000000e+00 
  209       7.664512199283e-10       9.297257419105e-14      -5.241305945268e-13       0.000000000000e+00 
  210       7.674078826458e-10       9.400122664127e-14      -3.302974886087e-13       0.000000000000e+00 
  211       7.682816156265e-10       9.518998307467e-14      -1.341284283958e-13       0.000000000000e+00 
  212       7.690719845703e-10       9.654461071236e-14       6.429414420052e-14       0.000000000000e+00 
  213       7.697786080206e-10       9.807064229451e-14       2.648890412296e-13       0.000000000000e+00 
  214       7.704012791637e-10       9.977236777793e-14       4.675893121537e-13       0.000000000000e+00 
  215       7.709398525374e-10       1.016537757077e-13       6.723300787097e-13       0.000000000000e+00 
  216       7.713942054562e-10       1.037188749426e-13       8.790443625057e-13       0.000000000000e+00 
  217       7.717642382601e-10       1.059716944076e-13       1.087663065704e-12       0.000000000000e+00 
  218       7.720498745628e-10       1.084162828466e-13       1.298114951704e-12       0.000000000000e+00 
  219       7.722510615009e-10       1.110567085749e-13       1.510326625825e-12       0.000000000000e+00 
  220       7.723677699819e-10       1.138970592314e-13       1.724222515992e-12       0.000000000000e+00 
  221       7.723999949334e-10       1.169414415317e-13       1.939724853414e-12       0.000000000000e+00 
  222       7.723477555513e-10       1.201939810201e-13       2.156753653273e-12       0.000000000000e+00 
  223       7.722110955487e-10       1.236588218226e-13       2.375226695401e-12       0.000000000000e+00 
  224       7.719900834045e-10       1.273401263990e-13       2.595059504970e-12       0.000000000000e+00 
  225       7.716848126116e-10       1.312420752958e-13       2.816165333169e-12       0.000000000000e+00 
  226       7.712954019264e-10       1.353688668986e-13       3.038455137890e-12       0.000000000000e+00 
  227       7.708219956166e-10       1.397247171846e-13       3.261837564412e-12       0.000000000000e+00 
  228       7.702647637101e-10       1.443138594750e-13       3.486218926082e-12       0.000000000000e+00 
  229       7.696239022438e-10       1.491405441879e-13       3.711503185001e-12       0.000000000000e+00 
  230       7.688996335121e-10       1.542090385906e-13       3.937591932703e-12       0.000000000000e+00 
  231       7.680922063154e-10       1.595236265521e-13       4.164384370843e-12       0.000000000000e+00 
  232       7.672018962090e-10       1.650886082956e-13       4.391777291877e-12       0.000000000000e+00 
  233       7.662290057513e-10       1.709083001515e-13       4.619665059745e-12       0.000000000000e+00 
  234       7.651738647531e-10       1.769870343092e-13       4.847939590557e-12       0.000000000000e+00 
  235       7.640368305256e-10       1.833291585702e-13       5.076490333272e-12       0.000000000000e+00 
  236       7.628182881292e-10       1.899390361003e-13       5.305204250387e-12       0.000000000000e+00 
  237       7.615186506222e-10       1.968210451826e-13       5.533965798614e-12       0.000000000000e+00 
  238       7.601383550701e-10       2.039791864911e-13       5.762663502242e-12       0.000000000000e+00 
  239       7.586778497900e-10       2.114158790249e-13       5.991210155051e-12       0.000000000000e+00 
  240       7.571376068156e-10       2.191330907478e-13       6.219523804837e-12       0.000000000000e+00 
  241       7.555181263054e-10       2.271327234363e-13       6.447521265430e-12       0.000000000000e+00 
  242       7.538199367824e-10       2.354166116040e-13       6.675118111293e-12       0.000000000000e+00 
  243       7.520435953738e-10       2.439865214267e-13       6.902228672104e-12       0.000000000000e+00 
  244       7.501896880508e-10       2.528441496662e-13       7.128766027356e-12       0.000000000000e+00 
  245       7.482588298680e-10       2.619911225953e-13       7.354642000940e-12       0.000000000000e+00 
  246       7.462516652033e-10       2.714289949225e-13       7.579767155745e-12       0.000000000000e+00 
  247       7.441688679976e-10       2.811592487159e-13       7.804050788241e-12       0.000000000000e+00 
  248       7.420111419944e-10       2.911832923284e-13       8.027400923076e-12       0.000000000000e+00 
  249       7.397792209794e-10       3.015024593221e-13       8.249724307665e-12       0.000000000000e+00 
  250       7.374738690205e-10       3.121180073927e-13       8.470926406781e-12       0.000000000000e+00 
  251       7.350958807070e-10       3.230311172939e-13       8.690911397148e-12       0.000000000000e+00 
  252       7.326460813897e-10       3.342428917626e-13       8.909582162030e-12       0.000000000000e+00 
  253       7.301253274206e-10       3.457543544426e-13       9.126840285825e-12       0.000000000000e+00 
  254       7.275345063920e-10       3.575664488098e-13       9.342586048653e-12       0.000000000000e+00 
  255       7.248745373771e-10       3.696800370966e-13       9.556718420951e-12       0.000000000000e+00 
  256       7.221463711688e-10       3.820958992162e-13       9.769135058062e-12       0.000000000000e+00 
  257       7.193509905199e-10       3.948147316875e-13       9.979732294824e-12       0.000000000000e+00 
  258       7.164894103828e-10       4.078371465593e-13       1.018840514017e-11       0.000000000000e+00 
  259       7.135626781487e-10       4.211636703352e-13       1.039504727170e-11       0.000000000000e+00 
  260       7.105718738880e-10       4.347947428979e-13       1.059955103031e-11       0.000000000000e+00 
  261       7.075181105893e-10       4.487307164340e-13       1.080180741473e-11       0.000000000000e+00 
  262       7.044025343997e-10       4.629718543581e-13       1.100170607616e-11       0.000000000000e+00 
  263       7.012263248637e-10       4.775183302379e-13       1.119913531285e-11       0.000000000000e+00 
  264       6.979906951639e-10       4.923702267185e-13       1.139398206468e-11       0.000000000000e+00 
  265       6.946968923597e-10       5.075275344467e-13       1.158613190775e-11       0.000000000000e+00 
  266       6.913461398808e-10       5.229898876922e-13       1.177547693556e-11       0.000000000000e+00 
  267       6.879394610518e-10       5.387557575219e-13       1.196193988771e-11       0.000000000000e+00 
  268       6.844778464508e-10       5.548232127201e-13       1.214545132089e-11       0.000000000000e+00 
  269       6.809623109347e-10       5.711901776351e-13       1.232594184821e-11       0.000000000000e+00 
  270       6.773938937813e-10       5.878544306586e-13       1.250334214705e-11       0.000000000000e+00 
  271       6.737736588317e-10       6.048136027055e-13       1.267758296706e-11       0.000000000000e+00 
  272       6.701026946320e-10       6.220651756935e-13       1.284859513798e-11       0.000000000000e+00 
  273       6.663821145757e-10       6.396064810227e-13       1.301630957764e-11       0.000000000000e+00 
  274       6.626130570457e-10       6.574346980557e-13       1.318065729983e-11       0.000000000000e+00 
  275       6.587966855566e-10       6.755468525967e-13       1.334156942224e-11       0.000000000000e+00 
  276       6.549341888964e-10       6.939398153714e-13       1.349897717434e-11       0.000000000000e+00 
  277       6.510267812691e-10       7.126103005067e-13       1.365281190535e-11       0.000000000000e+00 
  278       6.470757024365e-10       7.315548640105e-13       1.380300509211e-11       0.000000000000e+00 
  279       6.430822178603e-10       7.507699022510e-13       1.394948834704e-11       0.000000000000e+00 
  280       6.390476188445e-10       7.702516504368e-13       1.409219342599e-11       0.000000000000e+00 
  281       6.349732226771e-10       7.899961810962e-13       1.423105223625e-11       0.000000000000e+00 
  282       6.308603727727e-10       8.099994025571e-13       1.436599684438e-11       0.000000000000e+00 
  283       6.267104388141e-10       8.302570574266e-13       1.449695948416e-11       0.000000000000e+00 
  284       6.225248168949e-10       8.507647210707e-13       1.462387256453e-11       0.000000000000e+00 
  285       6.183049296612e-10       8.715178000938e-13       1.474666867748e-11       0.000000000000e+00 
  286       6.140522264539e-10       8.925115308187e-13       1.486528060596e-11       0.000000000000e+00 
  287       6.097681834509e-10       9.137409777658e-13       1.497964133181e-11       0.000000000000e+00 
  288       6.054543038091e-10       9.352010321334e-13       1.508968404369e-11       0.000000000000e+00 
  289       6.011121178064e-10       9.568864102768e-13       1.519534214495e-11       0.000000000000e+00 
  290       5.967431829841e-10       9.787916521881e-13       1.529654926163e-11       0.000000000000e+00 
  291       5.923490842887e-10       1.000911119976e-12       1.539323925026e-11       0.000000000000e+00 
  292       5.879314342145e-10       1.023238996346e-12       1.548534620590e-11       0.000000000000e+00 
  293       5.834918729449e-10       1.045769283078e-12       1.557280446996e-11       0.000000000000e+00 
  294       5.790320684953e-10       1.068495799510e-12       1.565554863816e-11       0.000000000000e+00 
  295       5.745537168549e-10       1.091412181012e-12       1.573351356845e-11       0.000000000000e+00 
  296       5.700585421287e-10       1.114511877471e-12       1.580663438892e-11       0.000000000000e+00 
  297       5.655481923061e-10       1.137788318119e-12       1.587485308654e-11       0.000000000000e+00 
  298       5.610239206586e-10       1.161235418029e-12       1.593813861211e-11       0.000000000000e+00 
  299       5.564868890999e-10       1.184847093321e-12       1.599646777011e-11       0.000000000000e+00 
  300       5.519382711612e-10       1.208617095754e-12       1.604981874287e-11       0.000000000000e+00 
  301       5.473792519923e-10       1.232539011423e-12       1.609817110744e-11       0.000000000000e+00 
